FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,11/10/2006,,,
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,,,,
FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",11/10/2006,,,,
FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",3/2/2017,4/2/2001,1858,,
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",3/2/2017,6/20/2018,1997,,
FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",4/2/2001,1/2/2009,,,
FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsources Services,"Norcross, Georgia",6/20/2018,10/2/2008,2000,,
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/2009,3/31/1980,,,
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",10/2/2008,8/19/2009,,,
FLR,Fluor Corp.,reports,Industrials,Construction & Engineering,"Irving, Texas",3/31/1980,4/4/2016,,,
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,,,,
FL,Foot Locker Inc,reports,Consumer Discretionary,Apparel Retail,"New York, New York",4/4/2016,7/1/2016,,,
F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/2/2017,6/22/2016,1903,,
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,,,,
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",6/22/2016,,,,
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",3/2/2017,8/31/1986,1947,,
FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,"Phoenix, Arizona",3/2/2017,12/12/2012,1912,,
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,4/5/2017,,,
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,,,,
IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,,,,
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/2/2017,12/10/2013,1899,,
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",3/2/2017,3/31/1969,1892,,
GGP,General Growth Properties Inc.,reports,Real Estate,Retail REITs,"Chicago, Illinois",12/10/2013,6/6/2013,,,
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,12/31/1973,1856,,
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,7/1/2004,,,
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,4/25/2016,1925,,
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",7/1/2004,7/22/2002,,,
GPN,Global Payments Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,8/25/2006,,,
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",7/22/2002,6/30/1981,,,
GT,Goodyear Tire & Rubber,reports,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",3/2/2017,1/13/1978,1898,,
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/1981,3/20/2015,,,
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/2/2017,1/13/1978,1919,,
